visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
38,32,0,1,NYA,BOS
36,37,1,2,NYA,CLE
38,32,0,0,TOR,BOS
32,28,0,3,NYA,CLE
44,33,2,1,TOR,BOS
36,38,0,0,NYA,CLE
43,29,4,1,TOR,BOS
33,31,0,0,NYA,CLE
28,32,0,0,DET,CLE
29,29,0,1,TBA,BOS
35,34,0,1,DET,CLE
28,28,1,0,TBA,BOS
33,33,0,2,DET,CLE
33,33,1,1,TBA,BOS
33,36,0,2,BOS,MIL
31,31,0,1,CLE,PIT
33,35,3,0,BOS,MIL
31,31,0,1,CLE,PIT
32,38,2,3,BOS,MIL
44,38,0,2,CLE,PIT
39,36,1,0,BOS,SDN
38,36,1,2,CLE,COL
33,37,0,0,BOS,SDN
34,33,2,0,CLE,COL
32,28,1,0,BOS,SDN
33,29,2,1,CLE,COL
33,31,0,0,PIT,BOS
28,28,0,1,SFN,CLE
36,31,3,2,PIT,BOS
31,29,0,0,SFN,CLE
32,32,0,0,PIT,BOS
32,29,0,0,SFN,CLE
35,32,2,0,ARI,CLE
32,33,1,2,ARI,CLE
27,28,0,2,PHI,BOS
39,31,0,2,ARI,CLE
31,30,0,1,PHI,BOS
39,31,3,1,PHI,BOS
39,29,3,2,CIN,CLE
33,38,1,0,HOU,BOS
35,35,1,1,CIN,CLE
37,35,2,1,HOU,BOS
33,32,1,2,CIN,CLE
31,32,0,0,HOU,BOS
39,35,1,0,BOS,TOR
32,29,1,2,CLE,NYA
31,31,1,1,BOS,TOR
43,32,2,0,CLE,NYA
35,33,0,2,BOS,TOR
34,32,0,1,CLE,NYA
32,36,0,6,BOS,BAL
38,33,1,1,CLE,TOR
33,35,1,2,BOS,BAL
41,43,1,0,CLE,TOR
30,33,0,0,BOS,BAL
40,34,2,1,CLE,TOR
33,36,1,3,BOS,BAL
38,35,1,0,CLE,TOR
36,35,2,0,BAL,CLE
37,32,2,3,BAL,CLE
34,35,4,2,TBA,BOS
30,30,0,1,BAL,CLE
36,40,3,1,TBA,BOS
35,33,2,4,BAL,CLE
52,50,0,0,TBA,BOS
43,39,2,2,BAL,BOS
35,32,2,1,MIN,CLE
37,36,1,2,MIN,CLE
32,31,1,2,BAL,BOS
30,31,0,0,MIN,CLE
36,28,2,0,BAL,BOS
32,35,1,0,MIN,CLE
38,33,1,1,BOS,SEA
35,31,1,0,CLE,CHA
36,33,1,0,BOS,SEA
38,41,2,1,BOS,SEA
32,29,0,0,CLE,CHA
47,51,0,0,BOS,KCA
32,31,1,0,CLE,ANA
38,38,2,1,BOS,KCA
31,31,0,1,CLE,ANA
44,36,2,3,BOS,KCA
34,28,0,0,CLE,ANA
31,35,1,1,BOS,KCA
29,25,1,1,CHA,BOS
42,31,4,0,CLE,KCA
40,31,2,2,CHA,BOS
34,29,0,1,CLE,KCA
36,38,1,0,CHA,BOS
33,34,2,1,CLE,KCA
39,38,4,2,BOS,CLE
34,34,2,1,BOS,CLE
