personid,female,adult,age,height_cm,weight_kg
11081105,1,0,15,155,42.9
11081106,0,0,14,167.3,47.3
11081201,1,1,25,153.6,48.5
11081202,0,0,12,149.4,36.2
11081203,0,0,10,132.9,26.9
11081204,0,0,8,127.8,23.2
11081205,0,0,6,112.5,17.7
11081301,0,1,35,163.2,40.6
11081302,1,1,32,143.4,43.3
11081303,0,0,13,138.2,26.3
11081304,1,0,9,123.1,22.3
11081305,1,0,7,114.9,17.3
11081306,1,0,4,103,15.2
11081307,1,1,65,,
11081308,0,1,21,162.3,42.2
11081401,0,1,67,161,71.1
11081402,1,1,64,138.1,36.1
11081403,1,1,50,,
11081404,0,1,28,,
11081405,1,1,26,,
11081406,0,0,5,,
11081407,0,0,3,,
11081408,0,1,42,167.1,75.3
11081409,1,1,40,154,45.4
11081410,1,0,17,152.8,48.6
11081411,1,0,15,,
11081412,1,1,35,158.9,44.3
11081413,0,1,25,174.6,90.5
11081414,1,1,23,,
11081415,0,0,2.5,,
11081416,0,0,15,166.5,51
11081701,0,1,60,161,46.9
11081702,1,1,55,153.3,38.8
11081801,0,1,68,155.2,44
11081802,1,1,28,150.2,37.7
11081803,0,0,10,132.7,25.8
11081804,0,0,8,127.9,23.4
11081805,1,1,30,148.9,53.3
11090101,0,1,65,161.6,63.9
11090102,1,1,60,149.1,64.4
11090103,0,1,34,168.8,70.4
11090104,1,1,29,156.2,54.1
11090105,0,0,5,107.3,15.7
11090106,1,0,3,96.1,13.6
11090201,0,1,65,165,57.3
11090202,1,1,60,143,38.3
11090203,1,1,32,151.1,50.3
11090204,0,0,7,130.3,23.1
11090205,1,0,4,113.6,16.8
11090206,1,0,3,94.5,12.5
11090207,1,0,1,,
11090208,1,1,85,,
11090301,0,1,40,176.5,105.9
11090302,1,1,30,161.4,71
11090304,1,0,4,101.5,15.3
11090305,0,0,.6666667,,
11090306,1,1,65,148.8,47.2
11090401,0,1,54,164.5,68.9
11090402,1,1,50,153.9,43
11090403,0,1,28,171.6,61.6
11090404,0,1,21,173.1,61
11090405,1,1,19,156.7,40.6
11090406,0,0,8,123.4,23.2
11090407,0,1,95,,
11090501,1,1,35,147.6,35.2
11090502,0,0,9,124.4,22.5
11090503,0,0,7,110.9,16.7
11090504,1,0,5,97.8,12.9
11090505,1,1,80,140.5,30.6
11090701,1,1,70,150.1,45.8
11090702,1,1,32,,
11090703,0,0,7,,
11090704,1,0,1.5,,
11090705,1,0,3,,
11090801,0,1,60,161.1,48.1
11090802,1,1,55,149.5,40.6
11090803,0,0,16,157.5,44.4
11090804,0,0,12,139.1,27.2
11090805,1,1,20,,
11090806,0,0,1,,
11090901,0,1,55,167.5,73.3
11090902,1,1,50,143.9,47.3
